may be one reason why more <UNK> were <UNK> this year in massachusetts than ever before says the secretary of state chief legal counsel david	0 0 1 1 1 1 0 0 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 1 0
the man who directed the successful effort last election to get the mandatory seat belt law stripped from the law books	0 0 0 1 0 1 1 1 0 0 0 0 1 1 1 0 1 0 0 1 0
for the sake of recycling	0 0 1 0 1
they distributed information from home and denounced the government crackdown	0 1 1 0 1 0 1 0 1 1
three of them are these students at saint margarets hospital alternative school for pregnant teens theyre sixteen or seventeen years old	1 0 1 0 1 0 0 0 1 1 1 0 0 1 1 0 1 0 1 0 1
both silber and bellotti echoed flood call for a tax hike	1 1 0 1 1 1 0 0 0 1 1
the union ed dougherty says	0 1 1 1 1
when us attorney general dick thornberg detailed the charges facing the suspects the huge scope of the investigation became clear	0 1 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 1 1 1
for wbur im margo melnicove	0 1 1 1 1
dodge says prevention efforts in <UNK> run the <UNK> instead of <UNK> on a particular drug	1 0 1 0 0 1 1 0 1 1 0 0 0 0 1 0
and each year since nineteen seventy five lincoln metco enrollment has comprised twenty percent of the student body	0 1 0 0 1 0 1 1 1 1 0 0 1 1 0 0 0 1
but school committee member jennifer donaldson wonders if the system anti-tracking philosophy	0 1 0 1 0 1 1 0 0 1 1 1
in the past wilkerson has agreed with selester and others who fault the media for glorifying gangs	0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1
olson is still head of the company he founded with just seventy thousand dollars and his success became the blueprint for scores of other mit trained engineer entrepreneurs	1 0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 1 1 1 1
mister <UNK> how do you start <UNK> <UNK> your tax returns	1 0 1 1 0 1 1 0 1 0 1
a pilot project to set up such clinics in two to four boston middle and high schools was proposed last spring	0 1 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 0 1 1 1
will be wearing a wristband that hooks up with a special jack on their home phones	0 0 1 0 1 0 1 1 0 0 1 0 0 0 1 1
ford and other opponents of the per se clause say it relies exclusively on the breath test and they say breathalizers are simply unreliable	1 0 1 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0 1 1
the student body included about a dozen native americans each year and only one has dropped out	0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 0 1
meyere says every chief of state will profess his or her love for children	1 1 1 1 0 1 0 1 0 0 0 1 0 1
but senior emily case says if the school committee tinkers with the policy her aids peer leadership group	0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 0 1 0
yet beard remains ambivalent	0 1 1 1
